"1","TRUCK","GMC","Sierra","2005","YES"
"2","MEDIUM","Chevrolet","Cruze","2017","NO"
"3","COMPACT","Honda","Civic","2021","YES"
"4","SUV","Acura","RDX","2009","YES"
"5","MEDIUM","Chevrolet","Malibu","2016","YES"
"6","SUV","Kia","Sorento","2013","YES"
"7","SUV","GMC","Terrain","2013","YES"
"8","MEDIUM","Toyota","Camry","2018","YES"
"9","SUV","Nissan","Rogue","2010","YES"
"10","TRUCK","Chevrolet","Silverado","1995","YES"
"11","COMPACT","Kia","Soul","2018","YES"
"12","SUV","Jeep","Patriot","2016","NO"
"13","LARGE","Pontiac","G8","2009","YES"
"14","COMPACT","Volkswagen","Jetta","2019","YES"
"15","TRUCK","Ford","F250","2004","YES"
"16","LARGE","Hyundai","Azera","2010","YES"
"17","VAN","Honda","Odyssey","2015","YES"
"18","VAN","Toyota","Sienna","2010","YES"
"19","LARGE","Buick","LaCrosse","2011","YES"
"20","COMPACT","Toyota","Prius","2015","YES"
"21","LARGE","Kia","Cadenza","2014","YES"
"22","MEDIUM","Nissan","Sentra","2016","YES"
"23","COMPACT","Chevrolet","Cruze","2013","YES"
